seq_id,seq_id2,locus_tag,locus_tag2,identity,similarity,start,end
CP108404.region040,CP108476.region044,PRJNA747871_OG294_36200,PRJNA747871_OG500_34745,0.99,0.99,,
CP108404.region040,CP108476.region044,PRJNA747871_OG294_36205,PRJNA747871_OG500_34750,0.93,0.93,,
CP108404.region040,CP108476.region044,PRJNA747871_OG294_36210,PRJNA747871_OG500_34755,0.99,0.99,,
CP108404.region040,CP108476.region044,PRJNA747871_OG294_36215,PRJNA747871_OG500_34760,1.0,1.00,,
CP108404.region040,CP108476.region044,PRJNA747871_OG294_36235,PRJNA747871_OG500_34765,0.98,0.99,,
CP108404.region040,CP108476.region044,PRJNA747871_OG294_36240,PRJNA747871_OG500_34770,1.0,1.00,,
CP108404.region040,CP108476.region044,PRJNA747871_OG294_36245,PRJNA747871_OG500_34775,1.0,1.00,,
CP108404.region040,CP108476.region044,PRJNA747871_OG294_36250,PRJNA747871_OG500_34780,0.99,0.99,,
CP108404.region040,CP108476.region044,PRJNA747871_OG294_36255,PRJNA747871_OG500_34785,1.0,1.00,,
CP108404.region040,CP108476.region044,PRJNA747871_OG294_36260,PRJNA747871_OG500_34790,1.0,1.00,,
CP108404.region040,CP108476.region044,PRJNA747871_OG294_36265,PRJNA747871_OG500_34795,1.0,1.00,,
CP108404.region040,CP108476.region044,PRJNA747871_OG294_36270,PRJNA747871_OG500_34800,1.0,1.00,,
CP108404.region040,CP108476.region044,PRJNA747871_OG294_36275,PRJNA747871_OG500_34805,0.99,0.99,,
CP108404.region040,CP108476.region044,PRJNA747871_OG294_36280,PRJNA747871_OG500_34810,1.0,1.00,,
CP108404.region040,CP108476.region044,PRJNA747871_OG294_36285,PRJNA747871_OG500_34815,1.0,1.00,,
CP108404.region040,CP108476.region044,PRJNA747871_OG294_36290,PRJNA747871_OG500_34820,0.99,0.99,,
CP108404.region040,CP108476.region044,PRJNA747871_OG294_36295,PRJNA747871_OG500_34825,0.99,0.99,,
CP108404.region040,CP108476.region044,PRJNA747871_OG294_36300,PRJNA747871_OG500_34830,1.0,1.00,,
CP108404.region040,CP108476.region044,PRJNA747871_OG294_36305,PRJNA747871_OG500_34835,1.0,1.00,,
CP108404.region040,CP108476.region044,PRJNA747871_OG294_36310,PRJNA747871_OG500_34840,1.0,1.00,,
CP108404.region040,CP108476.region044,PRJNA747871_OG294_36315,PRJNA747871_OG500_34845,0.99,0.99,,
CP108404.region040,CP108476.region044,PRJNA747871_OG294_36320,PRJNA747871_OG500_34850,1.0,1.00,,
CP108404.region040,CP108476.region044,PRJNA747871_OG294_36325,PRJNA747871_OG500_34855,1.0,1.00,,
CP108404.region040,CP108476.region044,PRJNA747871_OG294_36355,PRJNA747871_OG500_34860,0.99,1.00,,
CP108404.region040,CP108476.region044,PRJNA747871_OG294_36365,PRJNA747871_OG500_34870,0.97,0.97,,
CP108404.region040,CP108476.region044,PRJNA747871_OG294_36370,PRJNA747871_OG500_34875,0.99,0.99,,
CP108404.region040,CP108476.region044,PRJNA747871_OG294_36375,PRJNA747871_OG500_34880,1.0,1.00,,
CP108404.region040,CP108476.region044,PRJNA747871_OG294_36380,PRJNA747871_OG500_34885,0.9,0.91,,
CP108404.region040,CP108476.region044,PRJNA747871_OG294_36385,PRJNA747871_OG500_34890,0.99,0.99,,
CP108404.region040,CP108476.region044,PRJNA747871_OG294_36390,PRJNA747871_OG500_34895,1.0,1.00,,
CP108404.region040,CP108476.region044,PRJNA747871_OG294_36395,PRJNA747871_OG500_34900,0.99,0.99,,
CP108404.region040,CP108476.region044,PRJNA747871_OG294_36400,PRJNA747871_OG500_34905,1.0,1.00,,
