BGC0002385.0_reference vs CP108229.region028
--------------------------------------------
Query       Target                   Identity  Similarity
PRJNA747871_OG535_34350  PRJNA747871_OG379_38970  0.78      0.87      
PRJNA747871_OG535_34355  PRJNA747871_OG379_38975  0.73      0.83      
PRJNA747871_OG535_34360  PRJNA747871_OG379_38980  0.80      0.84      
PRJNA747871_OG535_34365  PRJNA747871_OG379_38985  0.72      0.84      
PRJNA747871_OG535_34370  PRJNA747871_OG379_38990  0.76      0.83      
PRJNA747871_OG535_34380  PRJNA747871_OG379_38905  0.65      0.75      

CP108229.region028 vs NBC_00240_3.region020
-------------------------------------------
Query                    Target                   Identity  Similarity
PRJNA747871_OG535_34285  PRJNA747871_OG689_34685  0.74      0.78      
PRJNA747871_OG535_34290  PRJNA747871_OG689_34690  0.96      0.98      
PRJNA747871_OG535_34295  PRJNA747871_OG689_34695  0.88      0.91      
PRJNA747871_OG535_34300  PRJNA747871_OG689_34700  0.86      0.90      
OG535_34305              OG689_34705              0.95      0.96      
OG535_34310              OG689_34710              0.91      0.95      
PRJNA747871_OG535_34315  PRJNA747871_OG689_34715  0.84      0.88      
PRJNA747871_OG535_34320  PRJNA747871_OG689_34720  0.87      0.91      
PRJNA747871_OG535_34325  PRJNA747871_OG689_34725  0.88      0.91      
PRJNA747871_OG535_34330  PRJNA747871_OG689_34730  0.91      0.95      
PRJNA747871_OG535_34335  PRJNA747871_OG689_34735  0.92      0.96      
PRJNA747871_OG535_34340  PRJNA747871_OG689_34740  0.98      0.99      
PRJNA747871_OG535_34345  PRJNA747871_OG689_34745  0.95      0.98      
PRJNA747871_OG535_34350  PRJNA747871_OG689_34750  0.97      0.98      
PRJNA747871_OG535_34355  PRJNA747871_OG689_34755  0.89      0.95      
PRJNA747871_OG535_34360  PRJNA747871_OG689_34760  0.95      0.97      
PRJNA747871_OG535_34365  PRJNA747871_OG689_34765  0.94      0.96      
PRJNA747871_OG535_34370  PRJNA747871_OG689_34770  0.96      0.97      
PRJNA747871_OG535_34375  PRJNA747871_OG689_34775  0.90      0.93      
PRJNA747871_OG535_34380  PRJNA747871_OG689_34780  0.87      0.92      

CP108289.region008 vs CP108613.region027
----------------------------------------
Query                    Target                   Identity  Similarity
PRJNA747871_OG286_06275  PRJNA747871_OG379_38905  0.65      0.75      
PRJNA747871_OG286_06285  PRJNA747871_OG379_38990  0.76      0.84      
PRJNA747871_OG286_06290  PRJNA747871_OG379_38985  0.72      0.84      
PRJNA747871_OG286_06295  PRJNA747871_OG379_38980  0.80      0.84      
PRJNA747871_OG286_06300  PRJNA747871_OG379_38975  0.73      0.83      
PRJNA747871_OG286_06305  PRJNA747871_OG379_38970  0.78      0.87      
PRJNA747871_OG286_06310  PRJNA747871_OG379_38965  0.72      0.81      
PRJNA747871_OG286_06315  PRJNA747871_OG379_38960  0.87      0.92      
PRJNA747871_OG286_06320  PRJNA747871_OG379_38955  0.71      0.80      
PRJNA747871_OG286_06325  PRJNA747871_OG379_38950  0.77      0.83      
PRJNA747871_OG286_06330  PRJNA747871_OG379_38945  0.68      0.78      
PRJNA747871_OG286_06335  PRJNA747871_OG379_38940  0.63      0.73      
PRJNA747871_OG286_06340  PRJNA747871_OG379_38935  0.61      0.69      
PRJNA747871_OG286_06345  PRJNA747871_OG379_38930  0.65      0.75      
PRJNA747871_OG286_06350  PRJNA747871_OG379_38925  0.69      0.77      
PRJNA747871_OG286_06390  PRJNA747871_OG379_38855  0.31      0.44      

CP108289.region008 vs NBC_00240_3.region020
-------------------------------------------
Query                    Target                   Identity  Similarity
PRJNA747871_OG286_06275  PRJNA747871_OG689_34780  0.87      0.92      
PRJNA747871_OG286_06280  PRJNA747871_OG689_34775  0.90      0.93      
PRJNA747871_OG286_06285  PRJNA747871_OG689_34770  0.96      0.97      
PRJNA747871_OG286_06290  PRJNA747871_OG689_34765  0.94      0.96      
PRJNA747871_OG286_06295  PRJNA747871_OG689_34760  0.95      0.97      
PRJNA747871_OG286_06300  PRJNA747871_OG689_34755  0.89      0.95      
PRJNA747871_OG286_06305  PRJNA747871_OG689_34750  0.97      0.98      
PRJNA747871_OG286_06310  PRJNA747871_OG689_34745  0.95      0.98      
PRJNA747871_OG286_06315  PRJNA747871_OG689_34740  0.98      0.99      
PRJNA747871_OG286_06320  PRJNA747871_OG689_34735  0.92      0.96      
PRJNA747871_OG286_06325  PRJNA747871_OG689_34730  0.91      0.95      
PRJNA747871_OG286_06330  PRJNA747871_OG689_34725  0.88      0.91      
PRJNA747871_OG286_06335  PRJNA747871_OG689_34720  0.87      0.91      
PRJNA747871_OG286_06340  PRJNA747871_OG689_34715  0.57      0.59      
PRJNA747871_OG286_06340  PRJNA747871_OG689_34720  0.31      0.41      
PRJNA747871_OG286_06345  PRJNA747871_OG689_34700  0.86      0.90      
PRJNA747871_OG286_06350  PRJNA747871_OG689_34695  0.88      0.91      
PRJNA747871_OG286_06355  PRJNA747871_OG689_34690  0.96      0.98      
PRJNA747871_OG286_06360  PRJNA747871_OG689_34685  0.74      0.78      

CP108613.region027 vs NBC_00240_3.region020
-------------------------------------------
Query                    Target                   Identity  Similarity
PRJNA747871_OG379_38905  PRJNA747871_OG689_34780  0.62      0.72      
PRJNA747871_OG379_38925  PRJNA747871_OG689_34695  0.67      0.75      
PRJNA747871_OG379_38930  PRJNA747871_OG689_34700  0.63      0.73      
PRJNA747871_OG379_38935  PRJNA747871_OG689_34715  0.40      0.46      
PRJNA747871_OG379_38940  PRJNA747871_OG689_34720  0.62      0.72      
PRJNA747871_OG379_38945  PRJNA747871_OG689_34725  0.68      0.77      
PRJNA747871_OG379_38950  PRJNA747871_OG689_34730  0.77      0.84      
PRJNA747871_OG379_38955  PRJNA747871_OG689_34735  0.69      0.79      
PRJNA747871_OG379_38960  PRJNA747871_OG689_34740  0.87      0.92      
PRJNA747871_OG379_38965  PRJNA747871_OG689_34745  0.73      0.81      
PRJNA747871_OG379_38970  PRJNA747871_OG689_34750  0.78      0.87      
PRJNA747871_OG379_38975  PRJNA747871_OG689_34755  0.75      0.83      
PRJNA747871_OG379_38980  PRJNA747871_OG689_34760  0.80      0.86      
PRJNA747871_OG379_38985  PRJNA747871_OG689_34765  0.70      0.82      
PRJNA747871_OG379_38990  PRJNA747871_OG689_34770  0.76      0.83      
