OG501_04570	OG501_04570
OG442_04510	OG275_33535
OG442_04510	OG501_04555
OG442_04510	OHA80_04335
OG442_04510	OG211_33985
OIF37_33890	OIF37_33890
OIF37_33890	OH791_34105
OIF37_33890	OH828_33860
OG211_33855	OG211_33855
OG211_33855	OG501_04690
OG211_33855	OG275_33395
OG211_33855	OHA80_04470
OG211_33855	OG443_04415
OG211_33855	OG442_04650
OHA57_39005	OHA57_39005
OHA57_39165	OHA57_39165
OH828_34055	OH828_34055
OH828_34055	OIF37_34080
OH828_34055	OH791_34295
OIF37_33895	OIF37_33895
OIF37_33895	OH791_34110
OIF37_33895	OH828_33865
OIF37_34055	OIF37_34055
OIF37_34055	OH791_34270
OIF37_34055	OH828_34030
OG211_33865	OG211_33865
OG211_33865	OG501_04680
OG211_33865	OG275_33410
OG211_33865	OHA80_04460
OG211_33865	OG443_04400
OG211_33865	OG442_04635
OG211_34025	OG211_34025
OHA57_39010	OHA57_39010
OHA57_39170	OHA57_39170
OH791_34215	OH791_34215
OH791_34215	OHA57_39070
OH791_34215	OH828_33975
OH791_34215	OIF37_34000
OH828_33900	OH828_33900
OH828_33900	OG211_33890
OH828_33900	OIF37_33925
OH828_33900	OHA80_04435
OH828_33900	OG275_33435
OH828_33900	OG443_04375
OH828_33900	OH791_34140
OH828_33900	OG442_04610
OH828_33900	OG501_04655
OH828_33900	OHA57_39145
OH828_34060	OH828_34060
OH828_34060	OIF37_34085
OH828_34060	OH791_34300
OHA80_04405	OHA80_04405
OHA80_04405	OH828_33930
OHA80_04405	OG443_04345
OHA80_04405	OG211_33920
OHA80_04405	OIF37_33955
OHA80_04405	OG442_04580
OHA80_04405	OG501_04625
OHA80_04405	OG275_33465
OHA80_04405	OHA57_39115
OHA80_04405	OH791_34170
OG501_04525	OG501_04525
OG501_04525	OG211_34015
OG501_04525	OG275_33565
OG501_04525	OHA80_04305
OG501_04525	OG442_04475
OG501_04525	OG443_04275
OG275_33525	OG275_33525
OG275_33525	OG442_04520
OG275_33525	OG501_04565
OG275_33525	OHA80_04345
OIF37_33900	OIF37_33900
OIF37_33900	OH791_34115
OIF37_33900	OH828_33870
OIF37_34060	OIF37_34060
OG211_33870	OG211_33870
OG211_33870	OG501_04675
OG211_33870	OHA80_04455
OG211_33870	OG275_33415
OG211_33870	OG443_04395
OG211_33870	OG442_04630
OHA57_39015	OHA57_39015
OHA57_39175	OHA57_39175
OH791_34220	OH791_34220
OH791_34220	OH828_33980
OH791_34220	OIF37_34005
OH828_33905	OH828_33905
OH828_33905	OHA80_04430
OH828_33905	OG211_33895
OH828_33905	OIF37_33930
OH828_33905	OG443_04370
OH828_33905	OG275_33440
OH828_33905	OG442_04605
OH828_33905	OH791_34145
OH828_33905	OG501_04650
OH828_33905	OHA57_39140
OH828_34065	OH828_34065
OH828_34065	OIF37_34090
OH828_34065	OH791_34305
OG501_04695	OG501_04695
OG501_04695	OG211_33850
OG501_04695	OG275_33390
OG501_04695	OHA80_04475
OG501_04695	OG443_04420
OG501_04695	OG442_04655
OG442_04525	OG442_04525
OHA57_39020	OHA57_39020
OHA57_39180	OHA57_39180
OH791_34225	OH791_34225
OH791_34225	OH828_33985
OH791_34225	OIF37_34010
OH828_33910	OH828_33910
OH828_33910	OIF37_33935
OH828_33910	OH791_34150
OH828_33910	OHA57_39135
OH828_33910	OHA80_04425
OH828_33910	OG211_33900
OH828_33910	OG443_04365
OH828_33910	OG275_33445
OH828_33910	OG442_04600
OH828_33910	OG501_04645
OH828_34070	OH828_34070
OH828_34070	OIF37_34095
OH828_34070	OH791_34310
OG501_04535	OG501_04535
OG501_04535	OG275_33555
OG501_04535	OHA80_04315
