bgc_id;genome_id;region;accession;start_pos;end_pos;contig_edge;region_length;most_similar_known_cluster_id;most_similar_known_cluster_description;manual_assessment;most_similar_known_cluster_type;similarity;source;gbk_path;product;bigscape_class;gcf_0.30;gcf_0.40;gcf_0.50;Clan Number;fam_id_0.30;fam_type_0.30;fam_known_compounds_0.30
NBC_00052_1.region004;NBC_00052;1.4;NBC_00052_1;989573;1059365;FALSE;69792;BGC0000175;cycloheximide;cycloheximide;Polyketide:Trans-AT type I polyketide;0.6666666666666666;bgcflow;data/interim/antismash/7.0.0/NBC_00052/NBC_00052_1.region004.gbk;transAT-PKS.NRPS-like;PKS-NRP_Hybrids;23806;23806;23806;10239.0;82;unknown_family;u_PKS-NRP_Hybrids_82
NBC_01433_7.region004;NBC_01433;2.4;NBC_01433_7;524171;648171;FALSE;124000;BGC0000175;cycloheximide;cycloheximide;Polyketide:Trans-AT type I polyketide;0.3333333333333333;bgcflow;data/interim/antismash/7.0.0/NBC_01433/NBC_01433_7.region004.gbk;transAT-PKS.T1PKS.RiPP-like.T3PKS.NRPS;Others;30916;31267;31267;12413.0;3598;unknown_family;u_Others_3598
NBC_01500_2.region001;NBC_01500;2.1;NBC_01500_2;14859;101507;FALSE;86648;BGC0000175;cycloheximide;cycloheximide;Polyketide:Trans-AT type I polyketide;0.6111111111111112;bgcflow;data/interim/antismash/7.0.0/NBC_01500/NBC_01500_2.region001.gbk;transAT-PKS.NRPS-like.NRPS;PKS-NRP_Hybrids;13550;13550;13550;10239.0;82;unknown_family;u_PKS-NRP_Hybrids_82
NBC_00439_4.region004;NBC_00439;1.4;NBC_00439_4;1048217;1118102;FALSE;69885;BGC0000175;cycloheximide;cycloheximide;Polyketide:Trans-AT type I polyketide;0.7222222222222222;bgcflow;data/interim/antismash/7.0.0/NBC_00439/NBC_00439_4.region004.gbk;transAT-PKS.NRPS-like;PKS-NRP_Hybrids;23806;23806;23806;10239.0;82;unknown_family;u_PKS-NRP_Hybrids_82
NBC_01767_2.region024;NBC_01767;1.24;NBC_01767_2;8265260;8335116;FALSE;69856;BGC0000175;cycloheximide;cycloheximide;Polyketide:Trans-AT type I polyketide;0.6666666666666666;bgcflow;data/interim/antismash/7.0.0/NBC_01767/NBC_01767_2.region024.gbk;transAT-PKS.NRPS-like;PKS-NRP_Hybrids;23806;23806;23806;10239.0;82;unknown_family;u_PKS-NRP_Hybrids_82
NBC_00051_4.region022;NBC_00051;1.22;NBC_00051_4;7979527;8049319;FALSE;69792;BGC0000175;cycloheximide;cycloheximide;Polyketide:Trans-AT type I polyketide;0.6666666666666666;bgcflow;data/interim/antismash/7.0.0/NBC_00051/NBC_00051_4.region022.gbk;transAT-PKS.NRPS-like;PKS-NRP_Hybrids;23806;23806;23806;10239.0;82;unknown_family;u_PKS-NRP_Hybrids_82
NBC_01363_2.region008;NBC_01363;2.8;NBC_01363_2;2240821;2329808;FALSE;88987;BGC0000175;cycloheximide;cycloheximide;Polyketide:Trans-AT type I polyketide;0.6111111111111112;bgcflow;data/interim/antismash/7.0.0/NBC_01363/NBC_01363_2.region008.gbk;transAT-PKS.NAPAA.NRPS-like;PKS-NRP_Hybrids;17115;17115;17115;10239.0;2130;unknown_family;u_PKS-NRP_Hybrids_2130
NBC_01464_1.region029;NBC_01464;1.29;NBC_01464_1;8091691;8185000;FALSE;93309;BGC0000175;cycloheximide;cycloheximide;Polyketide:Trans-AT type I polyketide;0.5555555555555556;bgcflow;data/interim/antismash/7.0.0/NBC_01464/NBC_01464_1.region029.gbk;transAT-PKS.NRPS-like.T1PKS;PKS-NRP_Hybrids;31420;16121;22905;10239.0;218;unknown_family;u_PKS-NRP_Hybrids_218
NBC_00892_3.region019;NBC_00892;1.19;NBC_00892_3;7493484;7563113;FALSE;69629;BGC0000175;cycloheximide;cycloheximide;Polyketide:Trans-AT type I polyketide;0.6666666666666666;bgcflow;data/interim/antismash/7.0.0/NBC_00892/NBC_00892_3.region019.gbk;transAT-PKS.NRPS-like;PKS-NRP_Hybrids;23806;23806;23806;10239.0;82;unknown_family;u_PKS-NRP_Hybrids_82
NBC_00906_4.region019;NBC_00906;1.19;NBC_00906_4;7493424;7563060;FALSE;69636;BGC0000175;cycloheximide;cycloheximide;Polyketide:Trans-AT type I polyketide;0.6666666666666666;bgcflow;data/interim/antismash/7.0.0/NBC_00906/NBC_00906_4.region019.gbk;transAT-PKS.NRPS-like;PKS-NRP_Hybrids;23806;23806;23806;10239.0;82;unknown_family;u_PKS-NRP_Hybrids_82
CP109283.region028;NBC_01626;1.28;CP109283;7999977;8093430;FALSE;93453;BGC0000175;cycloheximide;cycloheximide;Polyketide:Trans-AT type I polyketide;0.5555555555555556;bgcflow;data/interim/antismash/7.0.0/NBC_01626/CP109283.region028.gbk;transAT-PKS.NRPS-like.T1PKS;PKS-NRP_Hybrids;31420;16121;22905;10239.0;218;unknown_family;u_PKS-NRP_Hybrids_218
CP109252.region002;NBC_01654;1.2;CP109252;325696;397327;FALSE;71631;BGC0000175;cycloheximide;cycloheximide;Polyketide:Trans-AT type I polyketide;0.6666666666666666;bgcflow;data/interim/antismash/7.0.0/NBC_01654/CP109252.region002.gbk;transAT-PKS.NRPS-like.lanthipeptide-class-iv;Others;24111;24583;24583;12413.0;1;known_family;tubercidin
CP109522.region003;NBC_01414;1.3;CP109522;339944;429944;FALSE;90000;BGC0000175;cycloheximide;cycloheximide;Polyketide:Trans-AT type I polyketide;0.6666666666666666;bgcflow;data/interim/antismash/7.0.0/NBC_01414/CP109522.region003.gbk;CDPS.NRPS-like.lanthipeptide-class-iv.transAT-PKS;Others;24111;27888;27888;12413.0;1;known_family;tubercidin
CP108692.region034;NBC_01010;1.34;CP108692;8178693;8250855;FALSE;72162;BGC0000175;cycloheximide;cycloheximide;Polyketide:Trans-AT type I polyketide;0.6666666666666666;bgcflow;data/interim/antismash/7.0.0/NBC_01010/CP108692.region034.gbk;transAT-PKS.NRPS-like.lanthipeptide-class-iv;Others;16229;24583;24583;16229.0;1;known_family;tubercidin
CP108376.region028;NBC_01333;1.28;CP108376;8002934;8096247;FALSE;93313;BGC0000175;cycloheximide;cycloheximide;Polyketide:Trans-AT type I polyketide;0.5555555555555556;bgcflow;data/interim/antismash/7.0.0/NBC_01333/CP108376.region028.gbk;transAT-PKS.NRPS-like.T1PKS;PKS-NRP_Hybrids;31420;16121;22905;10239.0;218;unknown_family;u_PKS-NRP_Hybrids_218
CP109556.region028;NBC_01387;1.28;CP109556;7826850;7923776;FALSE;96926;BGC0000175;cycloheximide;cycloheximide;Polyketide:Trans-AT type I polyketide;0.6111111111111112;bgcflow;data/interim/antismash/7.0.0/NBC_01387/CP109556.region028.gbk;transAT-PKS.NRPS-like.NRPS;PKS-NRP_Hybrids;23806;23806;23806;10239.0;82;unknown_family;u_PKS-NRP_Hybrids_82
CP109125.region032;NBC_01759;1.32;CP109125;8385799;8457571;FALSE;71772;BGC0000175;cycloheximide;cycloheximide;Polyketide:Trans-AT type I polyketide;0.6666666666666666;bgcflow;data/interim/antismash/7.0.0/NBC_01759/CP109125.region032.gbk;transAT-PKS.NRPS-like.lanthipeptide-class-iv;Others;24111;24583;24583;12413.0;1;known_family;tubercidin
CP108455.region027;NBC_01267;1.27;CP108455;7753659;7840673;FALSE;87014;BGC0000175;cycloheximide;cycloheximide;Polyketide:Trans-AT type I polyketide;0.6111111111111112;bgcflow;data/interim/antismash/7.0.0/NBC_01267/CP108455.region027.gbk;transAT-PKS.NRPS-like.NRPS;PKS-NRP_Hybrids;13550;13550;13550;10239.0;82;unknown_family;u_PKS-NRP_Hybrids_82
CP108408.region004;NBC_01300;1.4;CP108408;345963;414745;FALSE;68782;BGC0000175;cycloheximide;cycloheximide;Polyketide:Trans-AT type I polyketide;0.5555555555555556;bgcflow;data/interim/antismash/7.0.0/NBC_01300/CP108408.region004.gbk;transAT-PKS.NRPS-like.terpene.RRE-containing.lassopeptide;Others;12903;24583;24583;12413.0;3998;unknown_family;u_Others_3998
CP109575.region005;NBC_01369;1.5;CP109575;1143347;1213026;FALSE;69679;BGC0000175;cycloheximide;cycloheximide;Polyketide:Trans-AT type I polyketide;0.6666666666666666;bgcflow;data/interim/antismash/7.0.0/NBC_01369/CP109575.region005.gbk;transAT-PKS.NRPS-like;PKS-NRP_Hybrids;23806;23806;23806;10239.0;82;unknown_family;u_PKS-NRP_Hybrids_82
CP109368.region003;NBC_01556;1.3;CP109368;444630;535004;FALSE;90374;BGC0000175;cycloheximide;cycloheximide;Polyketide:Trans-AT type I polyketide;0.6666666666666666;bgcflow;data/interim/antismash/7.0.0/NBC_01556/CP109368.region003.gbk;CDPS.NRPS-like.lanthipeptide-class-iv.transAT-PKS;Others;16229;24583;24583;16229.0;1;known_family;tubercidin
CP109118.region001;NBC_01766;1.1;CP109118;14805;101409;FALSE;86604;BGC0000175;cycloheximide;cycloheximide;Polyketide:Trans-AT type I polyketide;0.6111111111111112;bgcflow;data/interim/antismash/7.0.0/NBC_01766/CP109118.region001.gbk;transAT-PKS.NRPS-like.NRPS;PKS-NRP_Hybrids;13550;13550;13550;10239.0;82;unknown_family;u_PKS-NRP_Hybrids_82
CP107823.region002;NBC_00535;1.2;CP107823;315972;387917;FALSE;71945;BGC0000175;cycloheximide;cycloheximide;Polyketide:Trans-AT type I polyketide;0.6666666666666666;bgcflow;data/interim/antismash/7.0.0/NBC_00535/CP107823.region002.gbk;transAT-PKS.NRPS-like.lanthipeptide-class-iv;Others;24111;24583;24583;12413.0;1;known_family;tubercidin
CP109258.region021;NBC_01650;1.21;CP109258;8270661;8368662;FALSE;98001;BGC0000175;cycloheximide;cycloheximide;Polyketide:Trans-AT type I polyketide;0.6666666666666666;bgcflow;data/interim/antismash/7.0.0/NBC_01650/CP109258.region021.gbk;transAT-PKS.NRPS-like.T1PKS;PKS-NRP_Hybrids;23806;23806;23806;10239.0;82;unknown_family;u_PKS-NRP_Hybrids_82
CP108731.region004;NBC_00987;1.4;CP108731;997362;1067145;FALSE;69783;BGC0000175;cycloheximide;cycloheximide;Polyketide:Trans-AT type I polyketide;0.6666666666666666;bgcflow;data/interim/antismash/7.0.0/NBC_00987/CP108731.region004.gbk;transAT-PKS.NRPS-like;PKS-NRP_Hybrids;23806;23806;23806;10239.0;82;unknown_family;u_PKS-NRP_Hybrids_82
CP109387.region002;NBC_01543;1.2;CP109387;293354;365411;FALSE;72057;BGC0000175;cycloheximide;cycloheximide;Polyketide:Trans-AT type I polyketide;0.6666666666666666;bgcflow;data/interim/antismash/7.0.0/NBC_01543/CP109387.region002.gbk;transAT-PKS.NRPS-like.lanthipeptide-class-iv;Others;24111;24583;24583;12413.0;1;known_family;tubercidin
CP109518.region028;NBC_01417;1.28;CP109518;7933448;8026794;FALSE;93346;BGC0000175;cycloheximide;cycloheximide;Polyketide:Trans-AT type I polyketide;0.5555555555555556;bgcflow;data/interim/antismash/7.0.0/NBC_01417/CP109518.region028.gbk;transAT-PKS.NRPS-like.T1PKS;PKS-NRP_Hybrids;31420;16121;22905;10239.0;218;unknown_family;u_PKS-NRP_Hybrids_218
CP109354.region024;NBC_01563;1.24;CP109354;8322727;8392590;FALSE;69863;BGC0000175;cycloheximide;cycloheximide;Polyketide:Trans-AT type I polyketide;0.6666666666666666;bgcflow;data/interim/antismash/7.0.0/NBC_01563/CP109354.region024.gbk;transAT-PKS.NRPS-like;PKS-NRP_Hybrids;23806;23806;23806;10239.0;82;unknown_family;u_PKS-NRP_Hybrids_82
CP109323.region025;NBC_01592;1.25;CP109323;8620480;8718191;FALSE;97711;BGC0000175;cycloheximide;cycloheximide;Polyketide:Trans-AT type I polyketide;0.6666666666666666;bgcflow;data/interim/antismash/7.0.0/NBC_01592/CP109323.region025.gbk;transAT-PKS.NRPS-like.T1PKS;PKS-NRP_Hybrids;23806;23806;23806;10239.0;82;unknown_family;u_PKS-NRP_Hybrids_82
CP109403.region007;NBC_01522;1.7;CP109403;769289;863901;FALSE;94612;BGC0000175;cycloheximide;cycloheximide;Polyketide:Trans-AT type I polyketide;0.5555555555555556;bgcflow;data/interim/antismash/7.0.0/NBC_01522/CP109403.region007.gbk;T1PKS.NRPS-like.transAT-PKS;PKS-NRP_Hybrids;31420;16121;22905;10239.0;218;unknown_family;u_PKS-NRP_Hybrids_218
CP108571.region033;NBC_01196;1.33;CP108571;8337202;8409256;FALSE;72054;BGC0000175;cycloheximide;cycloheximide;Polyketide:Trans-AT type I polyketide;0.6666666666666666;bgcflow;data/interim/antismash/7.0.0/NBC_01196/CP108571.region033.gbk;transAT-PKS.NRPS-like.lanthipeptide-class-iv;Others;24111;24583;24583;12413.0;1;known_family;tubercidin
CP108876.region023;NBC_00825;1.23;CP108876;8651155;8721257;FALSE;70102;BGC0000175;cycloheximide;cycloheximide;Polyketide:Trans-AT type I polyketide;0.6666666666666666;bgcflow;data/interim/antismash/7.0.0/NBC_00825/CP108876.region023.gbk;transAT-PKS.NRPS-like;PKS-NRP_Hybrids;23806;23806;23806;10239.0;82;unknown_family;u_PKS-NRP_Hybrids_82
CP109517.region028;NBC_01418;1.28;CP109517;7939538;8032872;FALSE;93334;BGC0000175;cycloheximide;cycloheximide;Polyketide:Trans-AT type I polyketide;0.5555555555555556;bgcflow;data/interim/antismash/7.0.0/NBC_01418/CP109517.region028.gbk;transAT-PKS.NRPS-like.T1PKS;PKS-NRP_Hybrids;31420;16121;22905;10239.0;218;unknown_family;u_PKS-NRP_Hybrids_218
CP109347.region002;NBC_01576;1.2;CP109347;316679;388837;FALSE;72158;BGC0000175;cycloheximide;cycloheximide;Polyketide:Trans-AT type I polyketide;0.6666666666666666;bgcflow;data/interim/antismash/7.0.0/NBC_01576/CP109347.region002.gbk;transAT-PKS.NRPS-like.lanthipeptide-class-iv;Others;24111;24583;24583;12413.0;1;known_family;tubercidin
CP109492.region021;NBC_01435;1.21;CP109492;7556445;7626585;FALSE;70140;BGC0000175;cycloheximide;cycloheximide;Polyketide:Trans-AT type I polyketide;0.6666666666666666;bgcflow;data/interim/antismash/7.0.0/NBC_01435/CP109492.region021.gbk;transAT-PKS.NRPS-like;PKS-NRP_Hybrids;23806;23806;23806;10239.0;82;unknown_family;u_PKS-NRP_Hybrids_82
CP109586.region021;NBC_01362;1.21;CP109586;8394186;8463807;FALSE;69621;BGC0000175;cycloheximide;cycloheximide;Polyketide:Trans-AT type I polyketide;0.6666666666666666;bgcflow;data/interim/antismash/7.0.0/NBC_01362/CP109586.region021.gbk;transAT-PKS.NRPS-like;PKS-NRP_Hybrids;23806;23806;23806;10239.0;82;unknown_family;u_PKS-NRP_Hybrids_82
CP108082.region022;NBC_00257;1.22;CP108082;8573770;8643348;FALSE;69578;BGC0000175;cycloheximide;cycloheximide;Polyketide:Trans-AT type I polyketide;0.6666666666666666;bgcflow;data/interim/antismash/7.0.0/NBC_00257/CP108082.region022.gbk;transAT-PKS.NRPS-like;PKS-NRP_Hybrids;23806;23806;23806;10239.0;82;unknown_family;u_PKS-NRP_Hybrids_82
CP108661.region029;NBC_01080;1.29;CP108661;7948577;8041928;FALSE;93351;BGC0000175;cycloheximide;cycloheximide;Polyketide:Trans-AT type I polyketide;0.5555555555555556;bgcflow;data/interim/antismash/7.0.0/NBC_01080/CP108661.region029.gbk;transAT-PKS.NRPS-like.T1PKS;PKS-NRP_Hybrids;31420;16121;22905;10239.0;218;unknown_family;u_PKS-NRP_Hybrids_218
CP108873.region005;NBC_00826;1.5;CP108873;961177;1031279;FALSE;70102;BGC0000175;cycloheximide;cycloheximide;Polyketide:Trans-AT type I polyketide;0.6666666666666666;bgcflow;data/interim/antismash/7.0.0/NBC_00826/CP108873.region005.gbk;transAT-PKS.NRPS-like;PKS-NRP_Hybrids;23806;23806;23806;10239.0;82;unknown_family;u_PKS-NRP_Hybrids_82
CP109262.region028;NBC_01648;1.28;CP109262;7977738;8071155;FALSE;93417;BGC0000175;cycloheximide;cycloheximide;Polyketide:Trans-AT type I polyketide;0.5555555555555556;bgcflow;data/interim/antismash/7.0.0/NBC_01648/CP109262.region028.gbk;transAT-PKS.NRPS-like.T1PKS;PKS-NRP_Hybrids;31420;16121;22905;10239.0;218;unknown_family;u_PKS-NRP_Hybrids_218
CP109413.region008;NBC_01516;1.8;CP109413;825993;920757;FALSE;94764;BGC0000175;cycloheximide;cycloheximide;Polyketide:Trans-AT type I polyketide;0.5555555555555556;bgcflow;data/interim/antismash/7.0.0/NBC_01516/CP109413.region008.gbk;T1PKS.NRPS-like.transAT-PKS;PKS-NRP_Hybrids;31420;16121;22905;10239.0;218;unknown_family;u_PKS-NRP_Hybrids_218
CP108509.region005;NBC_01237;2.5;CP108509;866983;997939;FALSE;130956;BGC0000175;cycloheximide;cycloheximide;Polyketide:Trans-AT type I polyketide;0.3333333333333333;bgcflow;data/interim/antismash/7.0.0/NBC_01237/CP108509.region005.gbk;transAT-PKS.T1PKS.RiPP-like.T3PKS.NRPS;Others;14568;22303;22303;12131.0;77;known_family;carbapenem MM4550
CP108703.region021;NBC_01005;1.21;CP108703;8273086;8371086;FALSE;98000;BGC0000175;cycloheximide;cycloheximide;Polyketide:Trans-AT type I polyketide;0.6666666666666666;bgcflow;data/interim/antismash/7.0.0/NBC_01005/CP108703.region021.gbk;transAT-PKS.NRPS-like.T1PKS;PKS-NRP_Hybrids;23806;23806;23806;10239.0;82;unknown_family;u_PKS-NRP_Hybrids_82
CP109370.region024;NBC_01553;1.24;CP109370;8644083;8713959;FALSE;69876;BGC0000175;cycloheximide;cycloheximide;Polyketide:Trans-AT type I polyketide;0.6666666666666666;bgcflow;data/interim/antismash/7.0.0/NBC_01553/CP109370.region024.gbk;transAT-PKS.NRPS-like;PKS-NRP_Hybrids;23806;23806;23806;10239.0;82;unknown_family;u_PKS-NRP_Hybrids_82
CP108491.region023;NBC_01243;1.23;CP108491;7975235;8045093;FALSE;69858;BGC0000175;cycloheximide;cycloheximide;Polyketide:Trans-AT type I polyketide;0.6666666666666666;bgcflow;data/interim/antismash/7.0.0/NBC_01243/CP108491.region023.gbk;transAT-PKS.NRPS-like;PKS-NRP_Hybrids;23806;23806;23806;10239.0;82;unknown_family;u_PKS-NRP_Hybrids_82
CP109115.region004;NBC_01768;1.4;CP109115;1083540;1153432;FALSE;69892;BGC0000175;cycloheximide;cycloheximide;Polyketide:Trans-AT type I polyketide;0.6666666666666666;bgcflow;data/interim/antismash/7.0.0/NBC_01768/CP109115.region004.gbk;transAT-PKS.NRPS-like;PKS-NRP_Hybrids;23806;23806;23806;10239.0;82;unknown_family;u_PKS-NRP_Hybrids_82
CP109287.region029;NBC_01625;1.29;CP109287;8154920;8248242;FALSE;93322;BGC0000175;cycloheximide;cycloheximide;Polyketide:Trans-AT type I polyketide;0.5555555555555556;bgcflow;data/interim/antismash/7.0.0/NBC_01625/CP109287.region029.gbk;transAT-PKS.NRPS-like.T1PKS;PKS-NRP_Hybrids;31420;16121;22905;10239.0;218;unknown_family;u_PKS-NRP_Hybrids_218
CP109317.region003;NBC_01598;1.3;CP109317;339902;429894;FALSE;89992;BGC0000175;cycloheximide;cycloheximide;Polyketide:Trans-AT type I polyketide;0.6666666666666666;bgcflow;data/interim/antismash/7.0.0/NBC_01598/CP109317.region003.gbk;CDPS.NRPS-like.lanthipeptide-class-iv.transAT-PKS;Others;24111;24583;24583;12413.0;1;known_family;tubercidin
CP109157.region004;NBC_01732;1.4;CP109157;968420;1038233;FALSE;69813;BGC0000175;cycloheximide;cycloheximide;Polyketide:Trans-AT type I polyketide;0.6666666666666666;bgcflow;data/interim/antismash/7.0.0/NBC_01732/CP109157.region004.gbk;transAT-PKS.NRPS-like;PKS-NRP_Hybrids;23806;23806;23806;10239.0;82;unknown_family;u_PKS-NRP_Hybrids_82
CP108685.region001;NBC_01014;1.1;CP108685;27367;113983;FALSE;86616;BGC0000175;cycloheximide;cycloheximide;Polyketide:Trans-AT type I polyketide;0.6111111111111112;bgcflow;data/interim/antismash/7.0.0/NBC_01014/CP108685.region001.gbk;transAT-PKS.NRPS-like.NRPS;PKS-NRP_Hybrids;13550;13550;13550;10239.0;82;unknown_family;u_PKS-NRP_Hybrids_82
CP109341.region003;NBC_01582;1.3;CP109341;376587;448878;FALSE;72291;BGC0000175;cycloheximide;cycloheximide;Polyketide:Trans-AT type I polyketide;0.6666666666666666;bgcflow;data/interim/antismash/7.0.0/NBC_01582/CP109341.region003.gbk;transAT-PKS.NRPS-like.lanthipeptide-class-iv;Others;24111;24583;24583;12413.0;1;known_family;tubercidin
